investor_id,investor_name,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry_1,preferred_industry_2,primary_investor_type,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments
1690,Governing Dynamics,9,,,20.00,,Early Stage VC,,26.54,Venture Capital,4,1,1,,4,5,,Software,,Venture Capital,,,,,4,1,1,,4,5,9
1691,GoVision Ventures,2,,,10.00,,Secondary Transaction,,,Venture Capital,2,2,2,2,2,,,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,,,,,2,2,2,2,2,,2
1692,Govtech Fund,37,,2,48.00,7.67,Early Stage VC,,,Venture Capital,21,8,6,2,22,7,24.97,Software,,Venture Capital,24.97,23.99,23.00,2,21,8,4,2,22,7,37
1693,GP Bullhound,103,,3,170.84,,Later Stage VC,935.00,135.00,Venture Capital,48,23,14,7,42,35,353.13,IT Services,Other Information Technology,Investment Bank,353.13,239.97,126.81,3,48,23,11,5,42,35,103
1694,GPL Ventures,1,,,100.00,,PIPE,,3.00,,,,,,1,,,Business Products and Services (B2B),Commercial Services,Asset Manager,,,,,,,,,1,,
1695,GPS Capital Management,,,1,80.24,,,,,,,,,,,,,,,Hedge Fund,,,,1,,,,,,,
1696,GRA Venture Fund,48,,1,45.00,0.09,Early Stage VC,69.50,19.50,Venture Capital,21,10,6,5,21,13,45,Agriculture,Commercial Products,Venture Capital,45.00,45.00,45.00,,20,10,6,4,21,13,48
1697,Grace Capital Management,2,,2,118.12,,Early Stage VC,,15.00,Venture Capital,,,,,,2,,Commercial Services,Media,Limited Partner,,,,2,,,,,,2,2
1698,Grace Foundation,2,,,16.97,,Later Stage VC,,5.80,Venture Capital,,,,,,1,,Commercial Products,Energy Services,Other,,,,,,,,,,,2
1699,Grand Challenges Canada,37,,,26.04,,Later Stage VC,20.73,12.73,Venture Capital,6,,,,32,1,,Healthcare Devices and Supplies,,Limited Partner,,,,,6,,,,32,,37
1700,Grand Valley State University Endowment,2,,,133.22,,Early Stage VC,,1.20,Venture Capital,,,,,,1,,Healthcare Services,Pharmaceuticals and Biotechnology,Limited Partner,,,,,,,,,,,2
1701,GrandBanks Capital,79,,3,211.00,0.18,Restan - LaterVC,9.40,5.25,Venture Capital,6,2,1,,6,31,,Software,,Venture Capital,125.00,105.50,86.00,3,6,2,,,6,31,79
1702,Granite Hill Capital Partners,31,,2,42.60,6.47,Later Stage VC,,3.55,Venture Capital,6,1,1,,11,13,24.64,Retail,Software,Venture Capital,24.64,21.32,18.00,2,6,,,,11,13,31
1703,Gratitude Railroad,30,,1,40.00,,Early Stage VC,,5.00,Venture Capital,27,13,6,2,20,5,40,Agriculture,,Venture Capital,40.00,40.00,40.00,,27,13,5,,20,5,30
1704,Gravity Ranch,24,,1,60.00,10.42,Seed Round,8.50,2.50,Venture Capital,20,5,2,1,13,8,60,Software,,Venture Capital,60.00,60.00,60.00,,19,5,2,,13,8,24
1705,Gray Ghost Ventures,45,,5,64.43,2.94,Seed Round,12.23,3.08,Venture Capital,1,1,1,,8,20,10.00,Consumer Non-Durables,Healthcare Devices and Supplies,Venture Capital,120.00,25.00,10.00,5,,,,,8,20,45
1706,Gray Matters Capital,67,,,46.60,,Early Stage VC,,1.09,Venture Capital,40,4,1,1,52,16,,Educational and Training Services (B2C),Materials and Resources,Impact Investing,,,,,40,3,,,52,16,67
1707,Grayhawk Capital,89,,5,200.00,55.97,Later Stage VC,,7.23,Venture Capital,23,7,6,4,19,41,76.00,Healthcare Technology Systems,Other Financial Services,Venture Capital,76.00,60.00,3.00,5,20,7,6,4,19,41,89
1708,Grays Peak Capital,18,,2,50.00,19.61,PE Growth/Expansion,,,Private Equity,15,9,7,2,13,3,,Communications and Networking,Consumer Durables,PE/Buyout,50.00,50.00,50.00,2,15,8,5,2,13,3,18
1709,Great Mountain Partners,1,,,5.16,,Early Stage VC,,20.00,Venture Capital,1,1,1,1,1,,,Infrastructure,Movies,Venture Capital,,,,,,,,,,,
1710,Great Oaks Venture Capital,472,,2,40.20,1.59,Seed Round,,2.20,Venture Capital,143,64,35,22,191,216,,Business Products and Services (B2B),Consumer Products and Services (B2C),Venture Capital,40.22,40.22,40.22,2,138,59,31,17,191,216,472
1711,Great White Shark,10,,1,2.00,5.61,Early Stage VC,22.90,2.90,Venture Capital,3,1,,,2,6,75,Consumer Durables,Insurance,Lender/Debt Provider,75.00,75.00,75.00,,3,,,,2,6,10
1712,Greater Colorado Venture Fund,29,,1,17.45,4.56,Later Stage VC,,3.50,Venture Capital,17,11,5,2,21,6,17.45,Consumer Non-Durables,Retail,Venture Capital,17.45,17.45,17.45,,17,11,5,2,21,6,29
1713,Greehey Family Foundation,1,,,195.13,,Early Stage VC,,3.10,Venture Capital,1,,,,,1,,Media,Software,Limited Partner,,,,,,,,,,,
1714,Green Acre Capital,22,,2,79.26,0.00,PIPE,52.53,8.00,Corporate,21,3,3,3,10,7,80,Retail,,PE/Buyout,80.00,52.50,25.00,2,21,3,3,2,10,7,22
1715,Green Brook Capital Management,13,,3,115.00,0.00,PE Growth/Expansion,,,Private Equity,1,,,,3,9,,Commercial Services,Media,Family Office,100.00,57.50,15.00,3,,,,,3,9,13
1716,Green Park & Golf Ventures,104,,1,10.00,1.74,Later Stage VC,55.00,20.00,Venture Capital,49,21,13,5,58,33,10.00,Healthcare Devices and Supplies,,Venture Capital,10.00,10.00,10.00,,48,21,9,3,58,33,104
1717,Green Visor Capital,61,,3,69.30,18.57,Later Stage VC,56.33,14.33,Venture Capital,32,14,8,6,25,18,18.03,Software,,Venture Capital,51.28,34.65,18.03,3,31,14,7,6,25,18,61
1718,Greenbell Ventures,,,1,35.00,13.74,,,,,,,,,,,35.04,,,Venture Capital,35.04,35.04,35.04,,,,,,,,
1719,Greener Capital,18,,2,55.30,3.80,PIPE,,2.00,Venture Capital,,,,,4,16,33.00,Commercial Services,Energy Services,Venture Capital,33.00,26.50,20.00,2,,,,,4,16,18
1720,Greenhall Capital Partners,3,,1,2.00,0.42,PE Growth/Expansion,,,Private Equity,,,,,2,1,2.00,Commercial Services,Healthcare,PE/Buyout,2.00,2.00,2.00,,,,,,2,,3
1721,GreenHawk Corporation,9,,1,50.00,0.00,Later Stage VC,48.70,12.70,Venture Capital,8,6,4,4,6,1,50,Business/Productivity Software,Commercial Products,Asset Manager,50.00,50.00,50.00,,8,5,4,4,6,,9
1722,Greenleaf Capital Partners,11,,1,15.00,0.96,Buyout/LBO,,,Private Equity,4,2,,,2,1,5.00,Capital Markets/Institutions,Commercial Services,PE/Buyout,5.00,5.00,5.00,1,4,2,,,2,1,11
1723,Greenline Ventures,12,,3,30.00,7.84,Later Stage VC,,9.21,Venture Capital,2,,,,5,6,,Healthcare Services,,Venture Capital,30.00,16.00,2.00,3,2,,,,5,6,12
1724,Greenmont Capital Partners,19,,2,63.00,11.41,Later Stage VC,61.92,27.87,Venture Capital,,,,,2,12,43.00,Chemicals and Gases,Consumer Non-Durables,Impact Investing,43.00,31.50,20.00,2,,,,,2,12,19
1725,GreenRock Asset Management,2,,,13.00,,Later Stage VC,,4.31,Venture Capital,2,1,1,1,1,,,,,Hedge fund,,,,,2,,,,,,2
1726,GreenSoil Investments (Israel),18,,4,100.00,,Later Stage VC,,,Venture Capital,8,2,,,6,4,2.90,Agriculture,Commercial Products,Venture Capital,39.00,13.00,2.90,4,8,2,,,6,4,18
1727,Greensoil Proptech Ventures,25,,2,109.00,,Later Stage VC,125.00,26.00,Venture Capital,22,6,5,1,10,4,100,Commercial Products,Commercial Services,Venture Capital,100.00,79.50,59.00,2,22,6,5,,10,4,25
1728,Greer Capital Advisors,26,,2,39.90,0.33,Early Stage VC,2.50,1.00,Venture Capital,,,,,3,19,21.90,Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology,Venture Capital,21.90,19.95,18.00,2,,,,,3,19,26
1729,Grey Sky Venture Partners,19,,1,2.43,0.24,Later Stage VC,50.00,30.00,Venture Capital,14,1,1,1,15,1,2.44,Commercial Products,Healthcare Devices and Supplies,Venture Capital,2.44,2.44,2.44,,14,,,,15,1,19
1730,Grishin Robotics,41,,2,125.00,23.01,Seed Round,10.00,2.00,Venture Capital,25,9,4,2,22,14,100,Computer Hardware,Consumer Non-Durables,Venture Capital,100.00,62.50,25.00,2,25,9,4,2,22,14,41
1731,Grit Capital Partners,9,,1,2.75,0.72,Seed Round,,0.41,Venture Capital,8,4,,,9,,2.75,Business Products and Services (B2B),Communications and Networking,Venture Capital,2.75,2.75,2.75,,8,4,,,9,,9
1732,Gron Ventures,5,,2,148.30,60.77,Later Stage VC,"3,750.00",350.00,Venture Capital,5,4,3,1,2,,31.00,Retail,,Venture Capital,117.33,74.16,31.00,2,5,4,2,,2,,5
1733,Gross Foundation,1,,,72.48,,PIPE,,,Private Equity,,,,,,1,,Communications and Networking,Semiconductors,Limited Partner,,,,,,,,,,,
1734,Groundswell Ventures,9,,1,0.57,0.15,Later Stage VC,400.00,60.00,Venture Capital,9,3,3,1,8,1,0.57,Services (Non-Financial),Software,Venture Capital,0.57,0.57,0.57,,9,3,3,,8,,9
1735,Growth Capital Management,,,,162.60,,,,,,,,,,,,,Healthcare Devices and Supplies,Healthcare Services,PE/Buyout,,,,,,,,,,,
1736,GrowthWorks,296,,4,7.90,0.00,Buyout/LBO,,,Private Equity,1,1,,,8,171,7.64,Biotechnology,Energy,Venture Capital,114.70,27.26,7.64,4,,,,,8,171,296
1737,Grupo Guayaciin,10,,6,45.00,20.76,Grant,,0.01,Other,7,1,,,6,2,,Healthcare Technology Systems,Software,Fund of Funds,84.10,62.00,36.50,6,7,1,,,6,2,10
1738,GS Futures,9,,2,155.00,93.74,Early Stage VC,,65.00,Venture Capital,9,9,9,9,9,,70.00,Energy,Environmental Services (B2B),Corporate Venture Capital,155.00,112.50,70.00,2,9,9,9,7,9,,9
1739,GSTVC,19,,2,20.00,10.72,Later Stage VC,,0.75,Venture Capital,13,8,5,3,13,5,20.00,Business Products and Services (B2B),Software,Venture Capital,20.00,20.00,20.00,2,13,8,5,,13,5,19
1740,Guardian Realty Investors,,,3,11.30,,,,,,,,,,,,11.25,,,Real Estate,100.00,55.63,11.25,3,,,,,,,
1741,Gulfstream Capital (Tennessee),,,1,51.98,,,,,,,,,,,,,Software,,Asset Manager,,,,1,,,,,,,
1742,gumi Cryptos Capital,48,,2,21.00,136.74,Early Stage VC,,16.70,Venture Capital,48,29,21,12,40,2,110,Financial Services,Software,Venture Capital,516.00,313.00,110.00,2,48,29,17,11,40,2,48
1743,GVACapital,40,,1,30.00,3.00,Seed Round,25.00,7.00,Venture Capital,8,,,,18,22,30.00,Software,,Venture Capital,30.00,30.00,30.00,,5,,,,18,22,40
1744,GVP Global,3,,1,150.00,,Later Stage VC,,80.00,Venture Capital,1,1,,,1,2,,Commercial Products,Software,PE/Buyout,,,,,,,,,,2,3
1745,Gwyneth Paltrow,16,,,60.00,,Early Stage VC,,12.00,Venture Capital,13,10,6,3,15,,,Apparel and Accessories,Retail,Angel (individual),,,,,13,10,6,3,15,,16
1746,Habeeb Capital,1,,1,20.00,,Buyout/LBO,0.25,0.25,Private Equity,1,1,,,1,,,Business Products and Services (B2B),Consumer Products and Services (B2C),PE/Buyout,,,,,,,,,,,
1747,Hack Fund,,,,60.00,,,,,,,,,,,,,Communications and Networking,Computer Hardware,Venture Capital,,,,,,,,,,,
1748,Hackers/Founders,54,,4,20.00,1.75,Early Stage VC,,,Venture Capital,4,1,,,29,25,,Software,,Accelerator/Incubator,20.00,20.00,20.00,4,4,,,,29,25,54
1749,Hadley Capital,40,,3,79.00,19.61,Buyout/LBO,,,Private Equity,5,,,,13,17,40.00,Commercial Services,Containers and Packaging,PE/Buyout,40.00,39.00,10.00,3,4,,,,13,17,40
1750,Hale Capital Partners,29,,1,147.30,,Later Stage VC,11.00,1.00,Venture Capital,5,3,2,1,8,28,,Aerospace and Defense,Consumer Durables,PE/Buyout,171.69,171.69,171.69,,5,3,2,,8,28,29
1751,Hall Venture Partners,10,,5,98.90,6.41,Early Stage VC,,3.00,Venture Capital,5,1,1,,5,4,12.37,Communications and Networking,Services (Non-Financial),Venture Capital,43.50,18.00,5.00,5,5,,,,5,4,10
1752,HALLEY Venture Partners,13,,2,1.38,2.09,Later Stage VC,20.45,6.45,Venture Capital,13,8,5,2,8,2,,Agriculture,Commercial Products,Venture Capital,5.33,5.33,5.33,2,12,7,4,2,8,2,13
1753,Halogen Ventures,82,,2,35.00,17.49,Seed Round,,4.50,Venture Capital,62,24,15,8,52,17,21.10,Apparel and Accessories,Business Equipment and Supplies,Venture Capital,21.10,15.75,10.41,2,61,24,15,5,52,17,82
1754,Hamilton Clark,1,,,0.16,,Early Stage VC,6.84,1.79,Venture Capital,,,,,,1,,,,Investment Bank,,,,,,,,,,1,
1755,Hamilton Point Investments,,,5,26.80,4.07,,,,,,,,,,,195,,,Real Estate,195.00,15.05,0.10,5,,,,,,,
1756,Hamilton Ridge Capital,,,1,13.30,,,,,,,,,,,,,,,Real Estate,13.30,13.30,13.30,,,,,,,,
1757,Hamline University Endowment,,,,100.56,,,,,,,,,,,1,,Commercial Services,Services (Non-Financial),Limited Partner,,,,,,,,,,,
1758,Hampshire College Endowment,1,,,52.73,,Grant,,0.06,Other,,,,,1,,,Media,Services (Non-Financial),Limited Partner,,,,,,,,,,,
1759,Hany Nada,7,,,1.53,,Seed Round,15.05,5.05,Venture Capital,4,1,,,5,1,,Software,,Angel (individual),,,,,4,,,,5,,7
1760,Hardware Club,62,,1,50.00,8.68,Later Stage VC,,80.00,Venture Capital,48,20,12,3,31,11,50,Aerospace and Defense,Automotive,Venture Capital,50.00,50.00,50.00,,48,19,8,3,31,11,62
1761,Hargett Hunter Capital Partners,4,,1,42.70,42.70,Bankruptcy Administrator,,0.33,Bankruptcy,2,,,,4,,42.70,Restaurants,Hotels and Leisure,Limited Partner,42.70,42.70,42.70,,2,,,,4,,4
1762,Harlem Capital Partners,49,,2,174.00,120.91,Later Stage VC,,7.00,Venture Capital,46,30,14,5,36,5,134.00,Commercial Services,Software,Venture Capital,134.00,87.15,40.29,2,44,27,12,2,36,5,49
1763,Harlingwood Equity Partners,9,,1,200.00,3.00,Buyout/LBO,,,Private Equity,,,,,,2,200.00,Commercial Services,,PE/Buyout,200.00,200.00,200.00,,,,,,,2,9
1764,Harlo Entertainment,15,,,250.00,,Later Stage VC,,9.50,Venture Capital,9,3,1,,13,1,,Media,Restaurants,PE/Buyout,,,,,9,3,,,13,,15
1765,Harloff Capital Management,,,1,0.83,,,,,,,,,,,,,,,Hedge fund,,,,,,,,,,,
1766,Harmony Capital Management,,,,64.16,,,,,,,,,,,,,,,Fund of Funds,,,,,,,,,,,
1767,Harold & Arlene Schnitzer Care Foundation,1,,,39.08,,Grant,,7.10,Other,,,,,,,,,,Corporation,,,,,,,,,,,
1768,Harpoon,41,,3,200.00,119.23,Early Stage VC,120.00,25.00,Venture Capital,40,27,10,6,29,4,122.00,Commercial Products,Information Technology,Venture Capital,122.00,91.00,60.00,3,40,24,9,6,29,4,41
1769,Harvest Capital Credit BOC,30,,,104.00,,Mezzanine,,9.65,Debt,15,,,,11,7,,Commercial Products,Commercial Services,Business Development Company,,,,,13,,,,11,7,30
1770,Harvest Funds Management,5,,1,60.01,2.43,IPO,"1,221.08",122.11,Public Investment,1,1,1,1,4,,19.24,Business Products and Services (B2B),Commercial Services,Fund of Funds,19.24,19.24,19.24,,,,,,4,,5
1771,HawksHead Capital,1,,1,0.61,0.42,Seed Round,,1.00,Venture Capital,,,,,1,,0.62,Consumer Non-Durables,,PE/Buyout,0.62,0.62,0.62,,,,,,,,
1772,Hayan Health Networks,2,,,50.00,,Early Stage VC,97.50,7.50,Venture Capital,2,2,1,,2,,,Agricultural Chemicals,Construction and Engineering,Corporate Venture Capital,,,,,2,2,,,2,,2
1773,Hayashi & Wayland,1,,,80.54,,Merger/Acquisition,,,Corporate,,,,,,,,Commercial Services,,Family Office,,,,,,,,,,,
1774,HCA Foundation,1,,,97.83,,Corporate Asset Purchase,,,Corporate,,,,,,,,Healthcare Services,Other Business Products and Services,Corporation,,,,,,,,,,,
1775,HCAP Partners,125,,4,137.74,56.11,Early Stage VC,,18.70,Venture Capital,41,21,15,7,21,60,150.00,Commercial Products,Commercial Services,Growth/Expansion,150.00,85.00,41.00,4,41,21,13,6,21,60,125
1776,HCS Capital,11,,3,51.50,2.76,Seed Round,17.25,4.25,Venture Capital,11,5,3,2,9,1,25.00,,,Venture Capital,25.00,15.00,11.50,3,11,4,3,2,9,,11
1777,Headwaters MB,8,,2,75.00,15.92,Merger/Acquisition,,,Corporate,,,,,,8,75,Commercial Services,Software,Merchant Banking Firm,75.00,40.33,5.66,2,,,,,,8,8
1778,Healmed Solutions,1,,,0.25,,Joint Venture,,,Corporate,1,1,1,,1,,,Business Products and Services (B2B),Healthcare,Corporation,,,,,1,1,1,,1,,1
1779,Health Catalyst Capital Management,36,,2,250.00,96.83,Buyout/LBO,,,Private Equity,32,22,13,7,16,3,130,Commercial Services,Healthcare Services,Growth/Expansion,130.00,116.50,103.00,2,32,18,10,5,16,3,36
1780,Health Foundation For Western & Central New York,1,,,114.13,,Grant,,,Other,,,,,1,,,Healthcare Services,,Government,,,,,,,,,,,1
1781,Health Velocity Capital,28,,2,200.00,308.81,Later Stage VC,,,Venture Capital,27,15,7,5,15,5,300.00,Healthcare Services,Healthcare Technology Systems,Venture Capital,300.00,242.50,185.00,2,27,14,7,4,15,5,28
1782,Health2047 Capital Partners,12,,2,60.00,32.31,Later Stage VC,97.00,25.00,Venture Capital,12,8,4,2,7,1,46.16,Healthcare Services,Healthcare Technology Systems,Venture Capital,46.16,46.16,46.16,2,12,8,3,2,7,,12
1783,Healthcare Georgia Foundation,1,,,119.57,,Grant,,0.04,Other,,,,,1,,,Other Healthcare,Services (Non-Financial),Limited Partner,,,,,,,,,,,
1784,Healthcare Innovation Fund,2,,,10.00,,Seed Round,,0.88,Corporate,1,,,,1,1,,Healthcare Services,Software,Corporate Venture Capital,,,,,,,,,,,2
1785,HealthTrain Ventures,,,1,250.00,12.68,,,,,,,,,,,250,,,Venture Capital,250.00,250.00,250.00,,,,,,,,
1786,HealthX Ventures,39,,2,76.00,40.95,Later Stage VC,50.00,14.00,Venture Capital,32,14,7,3,17,4,55.50,Healthcare Technology Systems,Software,Venture Capital,55.50,38.25,21.00,2,29,12,6,2,17,4,39
1787,Healthy Ventures,41,,2,40.00,41.95,Later Stage VC,30.00,10.00,Venture Capital,30,15,9,4,21,9,50.00,Healthcare Technology Systems,Other Software,Venture Capital,50.00,45.00,40.00,2,28,14,8,4,21,9,41
1788,Hedco Foundation,1,,,16.95,,Grant,,0.30,Other,,,,,1,,,Commercial Services,Media,Other,,,,,,,,,,,
1789,Helios Capital Ventures,9,,,100.00,,Early Stage VC,,12.00,Venture Capital,6,3,2,1,8,1,,Commercial Products,Consumer Durables,Venture Capital,,,,,6,3,2,,8,,9
1790,Hella Ventures,23,,1,120.00,86.67,Later Stage VC,77.64,21.75,Venture Capital,18,10,7,3,13,5,,Alternative Energy Equipment,Automation/Workflow Software,Corporate Venture Capital,120.00,120.00,120.00,,18,10,5,2,13,5,23
1791,Helmsman Collective,13,,,80.00,,PIPE,,,Private Equity,,,,,10,3,,Consumer Products and Services (B2C),Healthcare,Family Office,,,,,,,,,10,3,13
1792,Hemi Ventures,39,,1,30.00,3.13,Later Stage VC,18.90,6.00,Venture Capital,33,7,3,1,25,6,18.00,Pharmaceuticals and Biotechnology,Software,Venture Capital,18.00,18.00,18.00,1,30,7,2,,25,6,39
1793,Henderson Equity Partners,37,,9,0.29,0.00,Buyout/LBO,,,Private Equity,,,,,4,32,,Apparel and Accessories,Commercial Products,Fund of Funds,"1,000.52",210.00,85.00,9,,,,,4,32,37
1794,Herald Investment Management,43,,2,15.19,0.00,PIPE,248.86,16.50,Private Equity,3,,,,7,28,56.33,Software,,Venture Capital,56.33,44.41,32.48,2,3,,,,7,28,43
1795,Hercules Investments,,,,33.20,,,,,,,,,,,,,,,Hedge Fund,,,,,,,,,,,
1796,Heritage Capital Ventures,7,,,20.01,,Later Stage VC,,18.66,Venture Capital,5,1,,,,8,,Software,,Venture Capital,,,,,5,,,,,8,7
1797,Heron Capital,22,,,26.30,0.36,Later Stage VC,150.00,34.80,Venture Capital,1,,,,3,10,24.22,Healthcare Devices and Supplies,Healthcare Services,Venture Capital,24.22,24.22,24.22,,,,,,3,10,22
1798,Herrick Foundation,1,,1,160.31,,Early Stage VC,25.10,5.10,Venture Capital,,,,,,1,,,,Other,,,,,,,,,,,
1799,Heuristic Capital Partners,42,,1,34.00,8.88,Seed Round,31.72,2.72,Venture Capital,25,5,1,,22,12,34.00,Agriculture,Business Products and Services (B2B),Venture Capital,34.00,34.00,34.00,,25,3,,,22,12,42
1800,High Country Venture,43,,2,50.00,0.00,Early Stage VC,2.71,1.17,Venture Capital,,,,,6,18,25.00,Pharmaceuticals and Biotechnology,Software,Venture Capital,25.00,25.00,25.00,2,,,,,6,18,43
1801,High Tide Foundation,2,,,59.96,,Later Stage VC,68.00,18.00,Venture Capital,1,1,,,2,,,,,Venture Capital,,,,,1,1,,,2,,2
1802,Highcrest Capital,,,1,248.41,,,,,,,,,,,,,Business Products and Services (B2B),Capital Markets/Institutions,Asset Manager,364.12,364.12,364.12,1,,,,,,,
1803,HighGear Ventures,22,,2,30.00,,Later Stage VC,"1,145.60",95.60,Venture Capital,7,3,,,,17,43.00,Information Technology,,Venture Capital,43.00,24.69,6.38,2,7,3,,,5,17,22
1804,Hillson Financial Management,,,1,52.57,,,,,,,,,,,,,,,Hedge Fund,,,,,,,,,,,
1805,Hillsven,53,,,40.00,,Later Stage VC,69.00,114.00,Venture Capital,16,6,4,2,11,21,,Business Products and Services (B2B),Communications and Networking,Venture Capital,,,,,16,6,3,2,11,21,53
1806,Himel Capital,29,,,50.00,,Later Stage VC,183.39,24.87,Venture Capital,6,,,,11,18,,Healthcare,Media,Venture Capital,,,,,5,,,,11,18,29
1807,Hinge Capital,95,,13,108.80,31.37,Buyout/LBO,,,Private Equity,20,8,4,3,27,54,19.10,Commercial Services,Consumer Non-Durables,Venture Capital,26.20,6.06,0.70,13,20,7,4,2,27,54,95
1808,Hippocrates Ventures,3,,1,20.00,,Early Stage VC,,,Venture Capital,3,,,,3,,,Healthcare Devices and Supplies,Healthcare Technology Systems,Venture Capital,,,,1,3,,,,3,,3
1809,Hitchcock Foundation,4,,,23.51,,Seed Round,,,Corporate,2,1,1,1,2,,,Healthcare Services,Healthcare Technology Systems,Corporation,,,,,2,,,,2,,4
1810,Hivers & Strivers,16,,2,2.78,0.00,Seed Round,35.00,7.00,Venture Capital,6,2,1,1,9,5,,Business Products and Services (B2B),Consumer Products and Services (B2C),Angel Group,2.77,2.77,2.77,2,6,2,,,9,5,16
1811,HOF Village (NAS: HOFV),5,,,250.00,,Merger/Acquisition,,,Corporate,4,3,,,,,,Other Financial Services,Restaurants,Holding Company,,,,,4,3,,,,,5
1812,Holy Redeemer Health System Pension,2,,,125.48,,Early Stage VC,20.80,1.00,Venture Capital,1,,,,1,,,Healthcare Services,,Limited Partner,,,,,,,,,1,,2
1813,Homebrew,187,,5,210.00,36.73,Seed Round,9.50,2.00,Venture Capital,120,61,31,14,93,45,7.09,Aerospace and Defense,Healthcare Services,Venture Capital,90.00,35.00,7.09,5,117,60,27,11,93,45,187
1814,Honeywell Ventures,29,,1,100.00,,Later Stage VC,106.62,57.74,Venture Capital,29,18,8,3,19,3,100,Agriculture,Apparel and Accessories,Corporate Venture Capital,100.00,100.00,100.00,,29,16,6,3,19,3,29
1815,HOOPP Capital Partners,1,,,9.72,,Later Stage VC,,166.25,Venture Capital,1,1,1,1,1,,,,,PE/Buyout,,,,,,,,,1,,
1816,Hopen Life Science Ventures,16,,2,65.00,0.78,Early Stage VC,86.00,40.00,Venture Capital,1,,,,5,8,40,Clinics/Outpatient Services,Drug Discovery,Venture Capital,40.00,40.00,40.00,2,,,,,5,8,16
1817,Horizon Partners,25,,2,100.00,1.12,Early Stage VC,,3.81,Venture Capital,1,,,,1,15,10.00,Asset Management,Investment Banks,Holding Company,10.00,6.55,3.10,2,1,,,,1,15,25
1818,Horizon Ventures,76,,3,2.86,2.69,Later Stage VC,110.00,30.00,Venture Capital,6,,,,9,46,88.80,Software,,Venture Capital,88.80,83.00,5.00,3,6,,,,9,46,76
1819,Hospital for Special Surgery Endowment,4,,,236.00,,Seed Round,382.41,9.05,Venture Capital,3,2,2,1,3,,,Pharmaceuticals and Biotechnology,,Limited Partner,,,,,3,2,2,,3,,4
1820,Houston Ventures,20,,4,45.70,0.55,Early Stage VC,11.00,3.25,Venture Capital,6,2,,,7,12,5.66,Oil and Gas Equipment,Software,Venture Capital,40.00,22.83,5.66,4,6,2,,,7,12,20
1821,Howard Charitable Foundation,,,,7.55,,,,,,,,,,,1,,Consumer Non-Durables,Healthcare Services,Limited Partner,,,,,,,,,,,
1822,Hub Angels Investment Group,67,,6,28.80,4.07,Seed Round,,4.10,Venture Capital,15,6,4,1,16,31,6.79,Commercial Services,Software,Angel Group,6.79,3.91,2.76,6,15,6,3,,16,31,67
1823,Hudson River Capital Holdings,2,,,50.00,,Early Stage VC,10.13,2.63,Venture Capital,2,,,,,,,Healthcare Technology Systems,,Venture Capital,,,,,2,,,,,,2
1824,HudsonAlpha Institute for Biotechnology,,,,52.90,,,,,,,,,,,,,IT Services,,Corporation,,,,,,,,,,,
1825,Human Ventures,103,,1,50.00,19.61,Later Stage VC,77.50,12.50,Venture Capital,92,57,36,10,67,11,50.00,Consumer Non-Durables,Software,Venture Capital,50.00,50.00,50.00,,89,55,34,7,67,11,103
1826,Humanitas Smart Planet Systems,6,,1,2.00,,Seed Round,,6.33,Venture Capital,4,3,1,1,4,2,1.37,Information Technology,,Corporation,1.37,1.37,1.37,,4,3,,,4,2,6
1827,Humanity United,10,,1,12.00,4.23,Later Stage VC,12.63,5.20,Venture Capital,4,1,,,8,,23.00,Commercial Services,Media,Impact Investing,23.00,23.00,23.00,,4,,,,8,,10
1828,Humbition,18,,1,30.00,7.84,Seed Round,20.30,5.40,Venture Capital,18,10,4,,13,1,30,Business Products and Services (B2B),Communications and Networking,Venture Capital,30.00,30.00,30.00,,18,9,4,,13,,18
1829,Hunter Street Partners,5,,1,142.20,140.09,Merger/Acquisition,,,Private Equity,5,4,2,1,4,,159.06,financial Services,Other Business Products and Services,PE/Buyout,159.06,159.06,159.06,,5,4,2,,4,,5
1830,Huntington Ventures,17,,,40.00,,Later Stage VC,,7.98,Venture Capital,,,,,1,17,,Software,,Venture Capital,,,,,,,,,1,17,17
1831,Huron River Ventures,46,,2,16.00,0.73,Seed Round,,0.38,Venture Capital,5,1,1,,7,16,5.00,Energy,Software,Venture Capital,11.00,8.00,5.00,2,5,,,,7,16,46
1832,Hutensky Capital Partners,1,,3,174.10,0.01,Corporate Asset Purchase,19.80,19.80,Corporate,,,,,,1,81.22,,,Real Estate,103.00,81.22,71.07,3,,,,,,,
1833,Hv Fund I Management Co,,,,23.97,,,,,,,,,,,,,,,Fund of Funds,,,,,,,,,,,
1834,Hy-Vee and Affiliates' Benefit Plan And Trust,5,,,29.86,,Corporate Asset Purchase,,,Corporate,1,1,,,,,,Commercial Services,Pharmaceuticals and Biotechnology,Corporation,,,,,,,,,,,5
