investor_id,investment_num,total_funds_open,total_funds_closed,AUM,dry_powder,last_investment_type,last_investment_valuation,last_investment_size,last_investment_class,investments_last_5_yrs,investments_last_2_yrs,investments_last_12_months,investments_last_6_months,active_porfolio,exits,last_closed_fund_size,preferred_industry,max_fund_size,median_fund_size,min_fund_size,fund_closed_num,total_investments_last_5_yrs,total_investments_last_2_yrs,total_investments_last_12_months,total_investments_last_6_months,total _active_portfolio,total_exits,total_investments,primary_investor_type
1352,18,,2,0.97,0.00,Accelerator/Incubator,,,Other,,,,,7,11,0.32,Software,0.66,0.49,0.32,2,,,,,7,11,18,Accelerator/Incubator
1353,,,,50.00,,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (82C), Healthcare, Information Technology",,,,,,,,,,,,Venture Capital
1354,,,,222.71,,Joint Venture,,,Venture Capital,,,,,,,,,,,,,,,,,,,,Corporation
1355,,,,100.00,,Seed Round,,8.00,Venture Capital,,,,,,,,,,,,,,,,,,,1,Venture Capital
1356,6,,,55.00,0.00,PE Growth/Expansion,,4.00,Private Equity,,,,,,3,35,"Healthcare Devices and Supplies, Pharmaceuticals and Biotechnology",35.00,35.00,35.00,,,,,,,3,6,Investment Bank
1357,34,,2,0.95,0.05,Seed Round,9.46,2.52,Venture Capital,,,,,10,25,0.95,"Commercial Services, Media, Software",0.95,0.95,0.95,2,5,,,,10,25,34,Venture Capital
1358,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,Real Estate
1359,95,,5,30.00,4.74,Buyout/LBO,,,Private Equity,12,4,,,19,76,,"Communications and Networking, Healthcare Devices and Supplies, Software",200.00,75.00,30.00,5,11,4,,,19,76,95,"
Venture Capital"
1360,,,,221.09,,Grant,,,Other,,,,,,,,Services (Non-Financial),,,,,,,,,,,,Limited Partner
1361,62,,4,85.00,68.75,Early Stage VC,,2.72,Venture Capital,30,11,8,,19,8,75,"Communications and Networking, Energy, Laboratory Services (Healthcare), Other Materials, Other Textiles, Specialty",75.00,27.50,10.53,4,30,9,8,5,19,8,62,Venture Capital
1362,14,,2,100.00,33.30,Early Stage VC,,4.00,Venture Capital,13,8,,,10,2,100,Software,110.00,105.00,100.00,2,13,7,3,2,10,2,14,Venture Capital
1363,32,,6,35.00,16.18,Seed Round,19.70,7.55,Venture Capital,12,8,,,14,15,16.5,"Business Products and Services (B2B)), Consumer Products and Services (82C), Financial Services, Other Information T",16.50,9.20,1.45,6,12,8,5,3,14,15,32,Venture Capital
1364,,,,12.53,,Seed Round,,0.01,Venture Capital,,,,,,,,,,,,,,,,,,,,limited Partner
1365,,,,174.00,,PE Growth/Expansion,,,Private Equity,,,,,,,,"Commercial Products, Software",,,,,,,,,,,,Lender/Debt Provider
1366,23,,,19.00,,Seed Round,16.50,3.20,Venture Capital,2,,,,13,6,,"Communications and Networking, Compucer Hardware, Information Technology, IT Services, Other Information Tech",,,,,2,,,,13,6,23,Venture Capital
1367,35,,2,1.82,0.22,Later Stage VC,22.50,4.00,Venture Capital,9,2,,,13,21,1.82,"Business Products and Services (B2B), Communications and Networking, Software",1.82,1.82,1.82,2,9,1,,,13,21,35,Venture Capital
1368,38,,2,60.00,11.91,Early Stage VC,,2.20,Venture Capital,36,19,9,4,31,4,40,"Agriculture, Construction and Engineering, Energy, Food Products, Healthcare, Industrial Supplies and Parts",40.00,31.00,22.00,2,36,18,7,3,31,4,38,Venture Capital
1369,96,,3,186.97,109.66,Later Stage VC,43.50,8.00,Venture Capital,57,23,13,10,47,16,110.59,"Business Products and Services (B2B), Communications and Networking, Computer Hardware, Software",110.59,59.30,25.81,3,54,21,12,9,47,16,96,Venture Capital
1370,3,,,145.00,,PIPE,,6.96,Private Equity,2,,,,,,,"Exploration, Produccion and Refining, Ocher Energy, Pharmacemicals and Biotechnology",,,,,2,,,,2,,3,PE/Buyout
1371,8,,2,1.29,0.11,Early Stage VC,8.81,1.81,Venture Capital,,,,,,7,,"Consumer Non-Durables, Software",1.29,1.29,1.29,2,,,,,,7,8,Venture Capital
1372,2,,1,74.30,0.00,PE Growth/Expansion,,,Private Equity,,,,,,2,74.35,"Commercial Products, Containers and Packaging",74.35,74.35,74.35,1,,,,,,2,2,PE/Buyout
1373,77,,3,44.00,10.58,Buyout/LBO,,,Private Equity,10,,4,,9,33,38,"Healthcare Services, Healthcare Technology Systems, Software",38.00,24.50,19.10,3,9,5,4,3,9,33,77,Investment Bank
1374,,,,41.14,,Grant,,,Other,,,,,,,,Pharmaceuticals and Biotechnology,,,,,,,,,,,,limited Partner
1375,,,,137.30,,Later Stage VC,,3.77,Venture Capital,,,,,,,,,,,,,,,,,,,,Asset Manager
1376,169,,5,149.68,67.37,Later Stage VC,375.04,75.04,Venture Capital,87,40,26,20,76,51,85,"Accounting, Audit and Tax Services (B2B), Apparel and Accessories, BPO/Outsource Services, Broadcasting, Radio and",125.00,75.00,5.20,5,85,37,26,13,76,51,169,Venture Capital
1377,22,,8,56.50,0.00,Buyout/LBO,1.28,1.28,Private Equity,3,2,,,8,12,,"Chemicals and Gases, Commercial Services, Communications and Networking, Exploration, Production and Refining,",250.00,114.90,60.00,8,3,2,,,8,12,22,Lender/Debt Provider
1378,37,,,30.00,,Later Stage VC,,,Venture Capital,28,19,14,10,31,4,,"Accessories, Beverages, Broadcasting, Radio and Television, Electronics (B2C), Food Products, Internet Retail, Movies,",,,,,28,17,14,8,31,4,37,Corporate Venture Capital
1379,3,,,170.58,,Early Stage VC,77.00,17.00,Venture Capital,3,,,,,,,"Consumer Durables, Software",,,,,3,,,,2,1,3,Other
1380,69,,6,200.00,0.00,PE Growth/Expansion,,12.20,Private Equity,,,,,,62,40,"Consumer Durables, Media, Other Information Technology, Pharmaceuticals and Biotechnology, Semiconduaors, Sof",40.00,27.00,13.00,6,,,,,3,62,69,Corporate Venture Capital
1381,36,,,3.00,0.00,Grant,,0.01,Other,3,,,,17,19,3,Pharmaceuticals and Biotechnology,3.00,3.00,3.00,,3,,,,17,19,36,Accelerator/Incubator
1382,19,,,50.00,22.50,Later Stage VC,,10.27,Venture Capital,19,17,10,6,15,,50,"Healthcare Devices and Supplies, Healthcare Technology Systems, Pharmaceuticals and Biotechnology",50.00,50.00,50.00,,19,16,7,5,15,,19,Corporate Venture Capital
1383,,,,6.00,,,,,,,,,,,,,lnformai::ion Technology,,,,,,,,,,,,Accelerator/Incubator
1384,10,,4,74.00,51.80,Later Stage VC,,9.00,Venture Capital,8,,,,,6,74,"Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Other Healthcare, Other lnfor",74.00,6.20,2.30,4,8,4,,,,6,10,Venture Capital
1385,,,,12.50,,,,,,,,,,,,,,,,,,,,,,,,,Asset Manager
1386,,,,3.24,,,,,,,,,,,,3.24,"Asset Management, Brokerage",3.24,3.24,3.24,,,,,,,,,"
Lender/Debt Provider"
1387,2,,,100.00,82.58,Later Stage VC,518.00,118.00,Venture Capital,2,2,,,,,100,"Healthcare, Software",100.00,100.00,100.00,,2,2,2,2,2,,2,Corporate Venture Capital
1388,11,,,23.71,,Seed Round,,,Venture Capital,8,,,,8,,30.81,"Alternative Energy Equipment, Commercial Transportation, Metals, Minerals and Mining",30.81,30.81,30.81,,8,3,2,,8,,11,Accelerator/Incubator
1389,4,,,2.10,,Early Stage VC,12.80,4.30,Venture Capital,4,,,,3,,,Pharmaceuticals and Biotechnology,,,,,4,3,,,3,,4,Venture Capital
1390,,,,27.45,,,,,,,,,,,,,Business Products and Services (B2B),,,,,,,,,,,,Fund of Funds
1391,26,,4,100.00,43.19,Grant,,3.00,Other,10,3,,,17,8,50,"Commercial Services, IT Services, Software",50.00,46.00,30.00,4,10,3,3,,17,8,26,"
Growth/Expansion"
1392,2,,,10.84,,Accelerator/Incubator,,,Other,,,,,,,,"Biotechnology, Drug Discovery, Other Pharmaceuticals and Biotechnology, Pharmaceuticals",,,,,,,,,2,,2,Accelerator/Incubator
1393,30,,2,70.00,9.80,Early Stage VC,26.50,1.5,Venture Capital,,,,,4,16,70,"Media, Software",70.00,60.00,50.00,2,,,,,4,16,30,Venture Capital
1394,3,,4,159.10,24.02,Merger/Acquisition,,,Corporate,,,,,,,,Real Estate Services (B2C),104.00,79.54,55.08,4,,,,,2,,3,Asset Manager
1395,26,,2,20.20,,Later Stage VC,,,Venture Capital,7,,,,14,10,,"Other lnformai::ion Technology, Software",20.20,20.20,20.20,2,5,,,,14,10,26,Venture Capital
1396,16,,,25.00,,Seed Round,,3.75,Venture Capital,7,,4,,11,3,,"Media, Software",,,,,7,5,3,,11,3,16,Angel (individual)
1397,11,,1,10.00,0.00,Early Stage VC,25.63,7.15,Venture Capital,,,,,4,3,10,"Computer Hardware, Software",10.00,10.00,10.00,1,,,,,4,3,11,Venture Capital
1398,15,,2,36.00,1.11,Later Stage VC,13.23,1.82,Venture Capital,,,,,,11,6,"Commercial Services, Healthcare Services, Software",30.00,18.00,6.00,2,,,,,,11,15,Family Office
1399,1,,,50.14,,Seed Round,,1.00,Venture Capital,,,,,,,,Healthcare Devices and Supplies,,,,,,,,,,,1,limited Partner
1400,3,,,50.00,,Angel (individual),,5.00,Individual,,,,,,2,,"Commercial Services, Consumer Durables, Services (Non•Financial), Software",,,,,,,,,,2,3,Angel (individual)
1401,173,,,100.00,,Early Stage VC,,19.45,Venture Capital,25,6,4,,69,103,,Software,,,,,25,6,3,,69,103,173,Angel (individual)
1402,,,,194.00,164.90,,,,,,,,,,,194,,194.00,194.00,194.00,,,,,,,,,Real Estate
1403,100,,2,75.00,30.02,PIPE,,30.00,Corporate,90,41,30,18,69,19,52.55,"Capital Markets/Institutions, Commercial Banks, Communications and Networking, Computer Hardware, Education a",52.55,36.28,20.00,2,88,39,26,12,69,19,100,Venture Capital
1404,,,,14.88,3.89,,,,,,,,,,,14.88,"Application Software, Internet Software",14.88,14.88,14.88,,,,,,,,,Venture Capital
1405,46,,4,144.10,3.28,Later Stage VC,,0.20,Venture Capital,,,,,16,26,9.5,"Apparel and Accessories, Commercial Products, Healthcare Devices and Supplies, Retail, Software",37.00,18.00,9.50,4,4,,,,16,26,46,Venture Capital
1406,1,,,172.04,,Grant,,0.03,Other,,,,,,,,Healthcare Technology Systems,,,,,,,,,,,,Other
1407,8,,,10.90,,Early Stage VC,,,Venture Capital,8,7,6,,7,,11.45,"Aerospace and Defense, Commercial Services, Commercial Transportation, Communications and Networking, Compu",11.45,11.45,11.45,,8,7,5,2,7,,8,Venture Capital
1408,12,,,90.00,,Later Stage VC,,37.86,Venture Capital,,,,,2,11,90,"Pharmaceuticals and Biotechnology, Software",90.00,90.00,90.00,,,,,,2,11,12,Lender/Debt Provider
1409,79,,,100.00,24.56,Later Stage VC,46.54,14.00,Venture Capital,40,18,7,,29,27,62.63,"Communications and Networking, CompU(er Hardware, Healthcare Devices and Supplies, Healthcare Services, Health",62.63,62.63,62.63,,40,15,4,,29,27,79,Venture Capital
1410,,,,42.83,,Grant,,0.30,Other,,,,,,,,Services (Non-Financial),,,,,,,,,,,,Limited Partner
1411,2,,,8.58,,Merger/Acquisition,,,Corporate,2,,,,,,,,,,,,2,,,,,,2,Other
1412,,,,217.02,,,,,,,,,,,,,Healthcare Services,,,,,,,,,,,,Corporation
1413,,,,7.08,,,,,,,,,,,,,"Insurance, Other Business Products and Services",,,,,,,,,,,,Limited Partner
1414,,,,10.00,,Seed Round,,,Venture Capital,,,,,,,,"Agriculture, Commercial Transportation, Consumer Durables, Consumer Non-Durables, Containers and Packaging, E",,,,,,,,,,,,Venture Capital
1415,3,,,10.00,,Later Stage VC,29.34,8.34,Venture Capital,3,,,,,,,,,,,,3,3,2,,3,,3,Angel Group
1416,90,,2,43.50,13.88,Later Stage VC,295.00,40.00,Venture Capital,55,32,16,8,49,26,23.5,"Financial Services, Healthcare Technology Systems, Software",23.50,21.75,20.00,2,54,29,14,5,49,26,90,Venture Capital
1417,2,,,248.87,,Buyout/LBO,,,Private Equity,,,,,,2,,Commercial Products,,,,,,,,,,2,2,Limited Partner
1418,99,,,55.00,2.18,Later Stage VC,,,Venture Capital,50,28,21,14,47,22,55,Software,55.00,55.00,55.00,,48,28,18,10,47,22,99,Venture Capital
1419,,,,48.45,1.31,,,,,,,,,,,48.45,,48.45,48.45,48.45,,,,,,,,,Real Estate
1420,2,,,54.81,,Merger/Acquisition,,,Corporate,,,,,,,,Healthcare Services,,,,,,,,,,,2,Corporation
1421,4,,2,29.00,12.91,Early Stage VC,,4.20,Venture Capital,4,2,,,3,,21,"Agriculture, Cruise Lines, Educational and Training Services (B2C), Financial Services, Healthcare, Hotels and Resorts,",21.00,14.50,8.00,2,4,2,,,3,,4,Venture Capital
1422,11,,2,183.20,,Later Stage VC,321.00,100.00,Venture Capital,,4,,,,4,90,"Pharmaceuticals and Biotechnology, Software",90.00,62.50,35.00,2,5,4,,,5,4,11,Investment Bank
1423,4,,,1.00,,Later Stage VC,,6.00,Venture Capital,3,,,,,,,"Commercial Products, Other Business Products and Services, Other Information Technology, Other Materials",,,,,3,,,,2,,4,Impact Investing
1424,8,,,138.60,,Seed Round,12.50,5.00,Venture Capital,,,,,,7,,"Communications and Networking, Software",,,,,,,,,,7,8,Venture Capital
1425,,,,200.00,,Seed Round,21.88,7.08,Individual,,,,,,,,"Capital Markets/Institutions, Insurance, Media, Other Consumer Products and Services, Other Financial Services, Oth",,,,,,,,,,,,Venture Capital
1426,2,,,21.88,,Early Stage VC,,,Venture Capital,,,,,2,,,"Consume, Non·Ourables, Retail, Services (Non·Financial)",,,,,,,,,2,,2,limited Partner
1427,12,,,50.00,,PIPE,,10.49,Corporate,4,,,,6,6,,"Commercial Services, Software",,,,,3,,,,6,6,12,Venture Capital
1428,3,,,1.00,,Seed Round,,,Venture Capital,2,1,,,3,,,"Commercial Services, Software",,,,,2,,,,3,,3,Venture Capital
1429,11,,,40.00,0.91,Later Stage VC,,6.50,Venture Capital,,,,,,6,36,Software,36.00,36.00,36.00,,,,,,,6,11,Venture Capital
1430,60,,3,232.30,69.80,Early Stage VC,245.00,60.00,Venture Capital,57,31,22,12,36,,30.3,"Healthcare Services, Other Healthcare",101.10,101.10,30.30,3,56,31,20,9,36,,60,Venture Capital
1431,4,,,0.11,0.01,Later Stage VC,,6.15,Venture Capital,2,,,,,,0.11,"Healthcare, Information Technology",0.11,0.11,0.11,,2,,,,3,,4,Venture Capital
1432,19,,,75.00,,Later Stage VC,,17.00,Venture Capital,16,8,4,,15,1,,"Healthcare Technology Systems, Software",,,,,16,8,3,,15,,19,Venture Capital
1433,19,,,2.00,1.00,Later Stage VC,,,Venture Capital,17,8,4,,16,4,2.5,"Computer Hardware, Consume, Durables, Consumer Non•Du,ables, Energy Equipmem, Energy Services, Healthcare [",2.50,2.50,2.50,,17,7,3,2,16,4,19,Venture Capital
1434,39,,,79.03,,Later Stage VC,,,Venture Capital,35,12,6,,33,4,70.98,"Beverages, Distributors/Wholesale, Food Products, Household Products, Other Apparel, Personal Products",70.98,70.98,70.98,,35,12,4,2,33,4,39,Venture Capital
1435,54,,5,25.00,13.50,Seed Round,,4.00,Venture Capital,14,,,,5,37,30,Software,30.00,10.80,2.50,5,12,3,,,5,37,54,Venture Capital
1436,,,2,15.00,1.02,,,,,,,,,,,11.6,"Business Products and Services (B2B), Healthcare",11.60,11.60,11.60,2,,,,,,,,PE/Buyout
1437,4,,,100.00,6.33,Buyout/LBO,,,Private Equity,,,,,,2,100,Software,100.00,100.00,100.00,,,,,,2,2,4,Growth/Expansion
1438,,,,123.93,,,,,,,,,,,1,,,,,,,,,,,,,,Limited Partner
1439,45,,,100.00,,Later Stage VC,68.07,8.07,Venture Capital,,,,,5,30,,Software,,,,,,,,,5,30,45,Accelerator/Incubator
1440,111,,,50.00,0.00,Early Stage VC,140.00,50.00,Venture Capital,66,34,19,13,52,31,50,"Aerospace and Defense, Agriculture, Apparel and Accessories, Chemicals and Gases, Communications and Networkin",50.00,50.00,50.00,,64,31,17,11,52,31,111,Venture Capital
1441,14,,,9.26,2.22,PE Growth/Expansion,,,Private Equity,,,,,8,9,9.26,"Business Products and Services (B2B), Energy, Energy Services, Other Energy, Utilities",9.26,9.26,9.26,,5,,,,8,9,14,Growth/Expansion
1442,1,,,6.66,,Grant,,1.00,Other,,,,,1,,,Services (Non·Financial),,,,,,,,,1,,1,Limited Partner
1443,73,,3,32.59,4.00,Later Stage VC,"3,700.00",195.00,Venture Capital,6,,,,20,43,18.31,"Commercial Services, Software",18.31,8.06,6.23,3,4,,,,20,43,73,Venture Capital
1444,,,7,77.70,,,,,,,,,,,,17.8,,20.10,7.00,5.10,7,,,,,,,,Impact Investing
1445,24,,,35.00,2.32,Later Stage VC,550.00,60.00,Venture Capital,,2,,,10,12,35,"Commercial Services, Financial Services, Software",35.00,35.00,35.00,,5,2,,,10,12,24,Venture Capital
1446,1,,,75.00,0.09,Early Stage VC,3.71,1.40,Venture Capital,,,,,,,75,Software,75.00,75.00,75.00,,,,,,,,,Venture Capital
1447,,,,55.81,,,,,,,,,,,,,,,,,,,,,,,,,Fund of funds
1448,20,,2,100.00,1.74,Seed Round,,6.00,Venture Capital,,,,,5,14,50,Software,50.00,30.00,10.00,2,,,,,5,14,20,Venture Capital
1449,3,,3,61.10,,Early Stage VC,,14.50,Venture Capital,,,,,,3,30,Software,30.00,30.00,1.08,3,,,,,,3,3,Venture Capital
1450,8,,,1.10,0.10,Buyout/LBO,,,Private Equity,3,,,,,,1.1,Healthcare Devices and Supplies,1.10,1.10,1.10,,3,,,,5,,8,Venture Capital
1451,40,,3,62.44,5.47,Later Stage VC,24.14,4.14,Corporate,9,,,,11,23,60,"Commercial Services, Computer Hardware, Software",60.00,50.00,2.45,3,9,,,,11,23,40,Venture Capital
1452,120,,2,250.00,0.59,Seed Round,10.00,,Venture Capital,62,36,25,10,82,17,11.7,"Business Produces and Services (B2B), Consumer Produces and Services (82C), Financial Services, Healthcare, Sofcwan",100.00,55.85,11.70,2,62,33,21,9,82,17,120,Venture Capital
1453,90,,3,205.00,14.03,Early Stage VC,,,Venture Capital,17,8,4,,11,37,79,Software,79.00,70.00,56.00,3,16,8,2,2,11,37,90,Venture Capital
1454,,,,100.00,,Early Stage VC,,,Venture Capital,,,,,,,,"Commercial Services, Software",,,,,,,,,1,,,Growth/Expansion
1455,521,,2,67.10,12.81,Seed Round,9.30,2.30,Venture Capital,177,46,11,,193,202,43.2,"Business Produces and Services (B2B), Healthcare Devices and Supplies, Real Estate Services (B2C)",43.20,33.10,23.00,2,165,45,10,3,193,202,521,Accelerator/Incubator
1456,14,,,16.00,,Early Stage VC,,0.77,Venture Capital,,,,,4,10,,Software,,,,,,,,,4,10,14,Angel (individual)
1457,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,Asset Manager
1458,37,,,250.00,,Later Stage VC,242.47,44.47,Venture Capital,31,18,10,10,22,2,,Healthcare,,,,,31,17,10,8,22,2,37,Venture Capital
1459,,,,249.01,,Seed Round,7.00,2.00,Venture Capital,,,,,,,,"Commercial Services, Software",,,,,,,,,,,,limited Partner
1460,,,,15.44,,Later Stage VC,,,Venture Capital,,,,,,,,"Other Financial Services, Software",,,,,,,,,,,,Family Office
1461,,,,87.96,,Grant,,1.19,Other,,,,,,,,Software,,,,,,,,,,,,Not-For-Profit Venture Ca...
1462,,,3,1.00,0.00,Later Stage VC,,,Venture Capital,,,,,,1,0.09,"Consumer Products and Services (B2C), Energy",0.12,0.09,0.05,3,,,,,,,,Venture Capital
1463,11,,,57.40,41.16,Later Stage VC,,27.50,Venture Capital,11,9,7,,10,,57.43,"Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems",57.43,57.43,57.43,,11,8,7,4,10,,11,Venture Capital
1464,,,,6.24,,PE Growth/Expansion,,1.69,Private Equity,,,,,,,,"Capital Markets/Institutions, Commercial Services",,,,,,,,,1,,,Corporation
1465,66,,2,100.00,0.29,Later Stage VC,86.00,18.00,Venture Capital,,,,,8,26,55,"Healthcare Devices and Supplies, Information Technology",55.00,49.50,44.00,2,,,,,8,26,66,Venture Capital
1466,,,,175.00,,,,,,,,,,,,,"Energy, Financial Services",,,,,,,,,,,,Impact Investing
1467,,,,105.75,,Grant,,0.02,Other,,,,,,,,,,,,,,,,,,,,University
1468,,,,200.00,,,,,,,,,,,,,"Buildings and Property, Real Estate Services (B2C)",,,,,,,,,,,,Real Estate
1469,,,,108.30,,,,,,,,,,,,,,,,,,,,,,,,,limited Partner
1470,14,,2,3.73,0.12,Seed Round,,0.35,Venture Capital,,,,,5,6,2.33,"Commercial Services, Pharmaceuticals and Biotechnology, Software",2.33,1.86,1.40,2,,,,,5,6,14,Angel Group
1471,1,,,76.20,,Joint Venture,,,Other,,,,,,,,,,,,,,,,,1,1,1,Corporation
1472,119,,7,245.00,2.29,Later Stage VC,,18.00,Venture Capital,3,,,,15,59,10,"Healthcare Devices and Supplies, Pharmaceuticals and Biotechnology, Software",145.00,30.00,10.00,7,3,,,,15,59,119,"
Venture Capital"
1473,,,,76.20,,,,,,,,,,,,76.24,"Consumer Products and Services (82C), Healthcare, Information Technology",76.24,76.24,76.24,,,,,,,,,PE/Buyout
1474,2,,,36.55,,Grant,,0.01,Other,,,,,,,,"Commercial Services, Media",,,,,,,,,2,,2,Other
1475,9,,,27.66,,Later Stage VC,,27.67,Venture Capital,6,4,4,4,,3,,Software,,,,,5,4,4,4,5,3,9,PE/Buyout
1476,40,,,50.00,,Accelerator/Incubator,,0.90,Other,4,,,,30,10,,Software,,,,,4,,,,30,10,40,Accelerator/Incubator
1477,17,,,100.00,,Later Stage VC,,6.85,Venture Capital,17,14,9,,14,,,"Aerospace and Defense, Energy, Financial Services, Healthcare, Information Technology, Mai::erials.and Resources",100.00,100.00,100.00,,17,14,7,2,14,,17,Venture Capital
1478,13,,3,49.00,20.69,Later Stage VC,,12.00,Venture Capital,,,,,6,6,72.44,"Agriculture, Consumer Non-Durables, Fores.try",150.00,72.44,35.25,3,,,,,6,6,13,Impact Investing
1479,33,,5,150.00,0.51,Later Stage VC,,10.00,Venture Capital,,,,,,28,,"Communications and Networking, IT Services, Other Consumer Produc,s and Services, Software",31.30,19.20,14.20,5,,,,,2,28,33,Venture Capital
1480,,,2,29.63,,,,,,,,,,,,,,,,,2,,,,,,,,Hedge fund
1481,69,,6,13.19,0.00,Later Stage VC,60.00,12.00,Venture Capital,,,,,,33,2.48,"Communications and Networking, Healthcare Devices and Supplies, Pharmaceuticals and Biotechnology, Software",82.00,21.30,2.48,6,,,,,,33,69,Venture Capital
1482,3,,,4.44,0.42,Seed Round,,0.21,Venture Capital,3,,,,,,4.17,"Energy Services, Information Technology",4.17,4.17,4.17,,3,,,,3,,3,Venture Capital
1483,41,,,2.61,,Later Stage VC,,4.20,Venture Capital,26,11,,,27,8,,,,,,,25,11,2,,27,8,41,Angel Group
1484,91,,3,232.80,0.00,Later Stage VC,236.24,43.00,Venture Capital,,,,,,44,90,Software,100.00,90.00,42.80,3,,,,,,44,91,Venture Capital
1485,1,,3,70.00,2.05,PE Growth/Expansion,,,Private Equity,,,,,,,,"Commercial Products., Healthcare, Telecommunications.Service Providers, Textiles.",20.00,15.00,10.00,3,,,,,,,,"PE/Buyout
"
1486,,,,50.00,,,,,,,,,,,,,"Business Products and Services (B2B), Financial Services., Healthcare, Services (Non-Financial), Software",,,,,,,,,,,,Growth/Expansion
1487,2,,,206.30,,Buyout/LBO,,,Private Equity,2,,,,,,206.27,"Commercial Services, Energy, Other Information Technology, Software",206.27,206.27,206.27,,,,,,1,,2,PE/Buyout
1488,12,,,100.00,,Later Stage VC,68.84,26.84,Venture Capital,11,,,,6,,,"Consumer Non-Durables, Retail",100.00,100.00,100.00,,11,2,,,6,,12,Corporate Venture Capital
1489,2,,,50.00,26.80,Seed Round,,3.00,Venture Capital,2,2,,,,,50,,50.00,50.00,50.00,,2,2,,,,,2,Venture Capital
1490,,,2,125.00,,Later Stage VC,,0.35,Venture Capital,,,,,,3,,"Commercial Services, Software",,,,2,,,,,,3,,Real Estate
1491,5,,,140.00,,Later Stage VC,,14.00,Corporate,,4,,,5,,,"Diagnostic Equipment, Monitoring Equipment, Pharmaceuticals and Biotechnology, Therapeutic Devices.",,,,,5,3,,,5,,5,Corporate Venture Capital
1492,9,,,250.00,,Corporate Asset Purchase,,,Private Equity,2,,,,6,3,,"Financial Services, Other Information Technology, Other Services (B2C Non-Financial), Real Estate Services (B2C), Soft",,,,,2,1,1,,6,3,9,Family Office
1493,39,,2,20.02,1.00,Buyout/LBO,,,Private Equity,14,6,,,18,14,,"Communications and Networking, Healthcare, IT Services, Other Information Technology, Semiconductors, Softvvare",20.02,20.02,20.02,2,14,6,3,2,18,14,39,Venture Capital 
1494,,,,100.00,,Corporate Asset Purchase,49.90,49.90,Corporate,,,,,,,,,,,,,,,,,,,1,Real Estate
1495,143,,,63.00,0.55,Later Stage VC,,5.05,Venture Capital,80,43,20,17,102,32,3,"Agriculture, Food Products, Retail, Software, Transportation, Water Utilities",3.00,3.00,3.00,1,79,43,19,3,102,32,143,Accelerator/Incubator
1496,70,,2,44.00,12.00,Seed Round,15.00,4.19,Venture Capital,61,26,13,,44,11,30,"Business Products and Services (B2B), Consumer Products and Services (B2C), Financial Services, Healthcare, lnforma",30.00,20.00,10.00,2,61,26,9,3,44,11,70,Venture Capital
1497,,,,50.00,,Early Stage VC,,,Venture Capital,,,,,,,,,,,,,,,,,1,,,Venture Capital
1498,11,,,150.00,30.83,Seed Round,,,Venture Capital,,,,,7,4,150,Software,150.00,150.00,150.00,,,,,,7,4,11,PE/Buyout
1499,46,,,1.39,,Seed Round,,1.20,Venture Capital,13,10,4,,27,18,,Software,,,,,13,10,4,,27,18,46,Angel (individual)
1500,23,,,150.00,,Early Stage VC,,20.00,Venture Capital,8,6,,,13,10,,Software,,,,,8,6,3,3,13,10,23,Angel (individual)
1501,36,,2,25.00,11.96,Early Stage VC,,,Venture Capital,10,6,4,3,14,15,29.55,"Pharmaceuticals and Biotechnology, Software",29.55,27.28,25.00,2,9,5,3,3,14,15,36,Venture Capital
1502,27,,,100.00,,Later Stage VC,,2.70,Venture Capital,27,12,4,3,22,4,,"Consume, Products and Sen,ices (B2C), Software",,,,,27,9,4,2,22,4,27,Venture Capital
1503,14,,,20.00,,Early Stage VC,23.60,8.60,Venture Capital,2,,,,4,,,Healthcare Devices and Supplies,,,,,2,1,,,4,5,14,Venture Capital
1504,27,,,45.00,7.82,Early Stage VC,41.45,9.35,Venture Capital,25,15,8,3,19,,45,"Communications and Networking, Compucer Hardware, Healthcare, Healthcare Devices and Supplies, Information Te",45.00,45.00,45.00,,25,13,8,3,19,,27,Venture Capital
1505,,,,172.37,,Accelerator/Incubator,,,Other,,,,,,,,Commercial Products,,,,,1,,,,1,,1,Limited Partner
1506,7,,,19.50,,Later Stage VC,,20.00,Venture Capital,,4,,2,7,,,"Other Business Products and Services, Other Consumer Products and Services, Other Healthcare, Other Information",,,,,5,4,3,2,7,,7,Growth/Expansion
1507,9,,,100.00,,Buyout/LBO,25.00,25.00,Private Equity,6,4,,2,6,,,"Retail, Software",,,,,6,4,2,2,6,,9,PE/Buyout
1508,65,,2,130.20,11.74,Later Stage VC,80.00,35.00,Venture Capital,12,3,,,13,34,60.15,Healthcare Devices and Supplies,70.00,65.08,60.15,2,12,3,,,13,34,65,Venture Capital
1509,16,,,100.00,,Buyout/LBO,,,Private Equity,6,,,1,,8,100,Software,100.00,100.00,100.00,,6,,,,5,8,16,Venture Capital
1510,43,,,200.00,3.00,Buyout/LBO,,,Private Equity,14,,,1,,23,200,"Commercial Products, Commercial Services, Healthcare Services, Healthcare Technology Systems, Other Business Pro",200.00,200.00,200.00,,14,3,,,3,23,43,PE/Buyout
